ID;CALLSIGN
2930001;S51ZK
2930002;S56SCI
2930003;S56CT
2930004;S52I
2930005;S56LLB
2930006;S56KZ
2930007;S57BMU
2930008;S58DB
2930009;S56WDN
2930010;S56LOE
2930011;S56HVF
2930012;S52SX
2930013;S54CAT
2930014;S57DV
2930015;S56CUV
2930016;S53JB
2930017;S53SI
2930018;S50KH
2930019;S50UM
2930020;S56MP
2930021;S57NIX
2930022;S57SR
2930023;S58GM
2930024;S57FM
2930026;S54F
2930028;S56WAM
2930029;S54AN
2930030;S57RD
2930031;S57DD
2930032;S56IAR
2930033;S55DK
2930034;S57JP
2930035;S52X
2930036;S59KA
2930037;S56G
2930038;S56KKC
2930039;S53K
2930040;S57BSL
2930041;S59GM
2930042;S50BH
2930044;S51JY
2930045;S53H
2930046;S56RJI
2930047;S59OP
2930048;S56WZM
2930049;S51LD
2930050;S56BJD
2930051;S57JK
2930052;S58SA
2930053;S57OM
2930054;S59ZA
2930055;S54JB
2930056;S51UN
2930057;S57LR
2930059;S58DX
2930060;S52K
2930061;S57MO
2930062;S56KFG
2930063;S57UT
2930064;S55B
2930065;S57NK
2930066;S50XX
2930067;S56AL
2930069;S56RAW
2930070;S51PZ
2930071;S56ITR
2930072;S58OW
2930073;S53AAN
2930074;S55G
2930076;S53X
2930077;S51WND
2930078;S52JAN
2930079;S58G
2930081;S59DKS
2930082;S55DMR
2930083;S55ML
2930084;S59DEM
2930085;S55SS
2930086;S59ZL
2930087;S58SGP
2930088;S57BM
2930089;S51RBC
2930090;S57BKB
2930091;S57BSU
2930092;S52RS
2930094;S57ZL
2930095;S51ZT
2930099;S56WAN
2930100;S55C
2930103;S57PNX
2930104;S51DA
2930105;S53GA
2930106;S55DB
2930107;S59DBO
2930109;S55KB
2930110;S59RA
2930112;S51PW
2930113;S51UL
2930114;S56AFJ
2930115;S52MB
2930116;S56VDK
2930117;S52AS
2930118;S56SPT
2930119;S54AJE
2930120;S59DJR
2930122;S54AZA
2930123;S51KZ
2930124;S59GCD
2930125;S56VTV
2930126;S52HI
2930127;S56SIJ
2930128;S56RIR
2930129;S56WBV
2930130;S52ME
2930131;S51KM
2930132;S56OA
2930133;S55TZ
2930134;S56JPS
2930135;S56EPN
2930136;S57TQ
2930137;S55WT
2930138;S56TOM
2930139;S57JZ
2930140;S56GCX
2930141;S56GCY
2930142;S57KRN
2930143;S50AKR
2930144;S57R
2930145;S57AJJ
2930146;S51ZZ
2930147;S56ECR
2930148;S50VZZ
2930149;S56PB
2930150;S58LA
2930151;S55MA
2930152;S56BLG
2930153;S55RD
2930154;S55V
2930155;S56UVB
2930156;S56DE
2930157;S53DGM
2930158;S51WW
2930159;S59DSC
2930160;S57BBD
2930161;S52O
2930162;S56LFI
2930163;S56D
2930164;S57RWW
2930165;S59F
2930166;S57H
2930167;S57ZS
2930168;S51BW
2930169;S57LTH
2930170;S57P
2930171;S56RGA
2930172;S56PDO
2930173;S56S
2930174;S56GRY
2930175;S57ID
2930176;S53CL
2930177;S56IAK
2930178;S56GD
2930179;S56AX
2930180;S59AN
2930181;S56WDL
2930182;S55H
2930183;S57CBR
2930184;S51VC
2930185;S59ACP
2930186;S56IPS
2930187;S53JN
2930188;S53EL
2930189;S56VOM
2930190;S56PIV
2930191;S56KGJ
2930192;S56BWZ
2930193;S57JEL
2930194;S54B
2930195;S55DJ
2930196;S56KHL
2930197;S51L
2930198;S56JRR
2930199;S56KGZ
2930200;S54Z
2930201;S58BZ
2930202;S56ZM
2930203;S57F
2930204;S54A
2930205;S53APR
2930206;S54KOG
2930207;S53MD
2930208;S56KOS
2930209;S57PR
2930210;S57LE
2930211;S51E
2930212;S59FC
2930213;S54L
2930214;S57PM
2930215;S57TI
2930216;S57AX
2930217;S52ST
2930218;S57JTI
2930219;S56DS
2930220;S57NAD
2930221;S50DK
2930222;S56B
2930223;S56MNZ
2930224;S57BIT
2930225;S51OZ
2930226;S57YX
2930227;S57MDS
2930228;S56KLM
2930229;S54BB
2930230;S55DD
2930231;S53EFI
2930232;S56RZI
2930233;S58BO
2930234;S52NR
2930235;S55K
2930236;S56BFB
2930237;S56IBB
2930238;S50SL
2930239;S55VL
2930240;S51MM
